Name,Rank,Work Field,Website,Publication Count,Publications
Aybars Özdemir,Bilinmiyor,"Bilgi Sistemleri Eğitimi, Bilgi Sistemleri Felsefesi, Araştırma Yöntemleri ve Teori, Bilgi Sistemleri Kullanıcı Deneyimi Tasarımı ve Geliştirme",https://dergipark.org.tr/tr/pub/@aybars-ozdemir,0,
Melek Erkek,Bilinmiyor,Bilgi Güvenliği Yönetimi,https://dergipark.org.tr/tr/pub/@melek-erkek,0,
Nezir Alğan,Bilinmiyor,"Akışkan Akışı, Isı ve Kütle Transferinde Hesaplamalı Yöntemler (Hesaplamalı Akışkanlar Dinamiği Dahil)",https://dergipark.org.tr/tr/pub/@nezir-algan,0,
Buket Öramiş,Yüksek Lisans,Analitik Spektrometri,https://dergipark.org.tr/tr/pub/@buket-oramis,0,
İsmail Akçin,Dr.,Klinik Tıp Bilimleri (Diğer),https://dergipark.org.tr/tr/pub/@ismail-akcin,0,
Buse Hatun Cirit,Yüksek Lisans,Sosyal Bilgiler Eğitimi,https://dergipark.org.tr/tr/pub/@buse-hatun-cirit,0,
Sinem Ipek,Dr.,"Eğitim, Okul Öncesi Eğitim, Kapsayıcı Eğitim",https://dergipark.org.tr/tr/pub/@sinemm.21,1,OKUL ÖNCESİ DÖNEM ÇOCUKLARININ KİŞİLER ARASI PROBLEM ÇÖZME VE SOSYAL BECERİLERİ İLE AKRAN İLİŞKİLERİNİN DEĞERLENDİRİLMESİ
Fatih Serhat Erol,Prof. Dr.,Beyin ve Sinir Cerrahisi (Nöroşirurji),https://dergipark.org.tr/tr/pub/@firattipdergisi,0,
Ali Çağrı Oral,Arş. Gör.,İç Hastalıkları,https://dergipark.org.tr/tr/pub/@ali-cagri-oral-733072,0,
Alper Ceyran,Yüksek Lisans,Karşılaştırmalı Dil Çalışmaları,https://dergipark.org.tr/tr/pub/@alper-ceyran,0,
Halil İbrahim Bozkurt,Yüksek Lisans,"Ortaçağ Edebiyatı, İslam Sanatları, İslam Tarihi ve Medeniyeti",https://dergipark.org.tr/tr/pub/@halil-ibrahim-bozkurt,0,
Gözde Tokgöz,Yüksek Lisans,Nanoteknoloji,https://dergipark.org.tr/tr/pub/@gozde-tokgoz,1,Hidrotermal Karbonizasyon Yöntemi ile Üretilen Aktif Karbonun Mikroyapı Analizi
Mehmet Yorulmaz,Yüksek Lisans,"Yapay Zeka (Diğer), Mekatronik Mühendisliği",https://dergipark.org.tr/tr/pub/@mehmet-yorulmaz-782765,0,
Mehmet Akif Yildiz,Bilinmiyor,"Eğitim Programları ve Öğretim (Diğer), Öğretim Teknolojileri",https://dergipark.org.tr/tr/pub/@mehmet-akif-yildiz-769293,1,Öğretmenlerin 21. Yüzyıl Öğrenmelerinde Teknoloji Yeterliliği Öz-Değerlendirme Algılarının Belirlenmesi
Uğur Salman,Öğretim Görevlisi,"Uzay, Denizcilik ve Havacılık Hukuku, Hava-Uzay Ulaşımı",https://dergipark.org.tr/tr/pub/@ugur-salman,0,
Nour Baroudi,Yüksek Lisans,"Yapay Görme, Doğal Dil İşleme, Yapay Zeka (Diğer)",https://dergipark.org.tr/tr/pub/@nour-baroudi,0,
Merve Yılmaz Bozoğlan,Yrd. Doç. Dr.,"Tıbbi Farmakoloji, Kardiyovasküler Tıp ve Hematoloji (Diğer), Endokrinoloji",https://dergipark.org.tr/tr/pub/@merve-yilmaz-bozoglan,1,Nebivololün İsoproterenol İndüklü Kardiyak Hasarda Koruyuculuğu ve İrisinin Rolü
Cumali Aydın,Yüksek Lisans,Klasik Fizik (Diğer),https://dergipark.org.tr/tr/pub/@cumali-aydin-784624,0,
Hatice Karaoğlu,Bilinmiyor,Derin Öğrenme,https://dergipark.org.tr/tr/pub/@hatice-karaoglu-784713,0,
İlker Karabulut,Yüksek Lisans,Derin Öğrenme,https://dergipark.org.tr/tr/pub/@ilker-karabulut-700543,0,
Ahmet Zafer Perilioğlu,Yüksek Lisans,Anatomi,https://dergipark.org.tr/tr/pub/@ahmet-zafer-perilioglu,0,
Ali Aydın Urul,Yüksek Lisans,Dış Ticaret,https://dergipark.org.tr/tr/pub/@ali-aydin-urul,1,SÜRDÜRÜLEBİLİR REKABET AVANTAJI ELDE ETMEDE YEŞİL PAZARLAMANIN ROLÜ: TEORİK BİR ÇALIŞMA
Edanur Güler Ekmen,Dr.,Veteriner Anatomi ve Fizyoloji,https://dergipark.org.tr/tr/pub/@edanur-guler-ekmen,0,
Berfan İşler,Bilinmiyor,Elektrik Tesisleri,https://dergipark.org.tr/tr/pub/@berfan-isler,0,
Asuman Merve Ekici,Yüksek Lisans,Kaynak Mühendisliği ve Ekstraktif Metalurji (Diğer),https://dergipark.org.tr/tr/pub/@asuman-merve-ekici,0,
Mohamed Ibrahim Abdi,Yüksek Lisans,Yazılım Mühendisliği (Diğer),https://dergipark.org.tr/tr/pub/@mohamed-ibrahim-abdi-784922,0,
Mohmmad G Balsha,Bilinmiyor,Mekatronik Mühendisliği,https://dergipark.org.tr/tr/pub/@mohmmad-g-balsha,0,
Ufuk Canbaz,Yüksek Lisans,"Nöral Ağlar, Doğal Dil İşleme",https://dergipark.org.tr/tr/pub/@ufuk-canbaz,0,
Kübra Erdoğdu,Yüksek Lisans,Döküm Teknolojileri,https://dergipark.org.tr/tr/pub/@kubra-erdogdu,0,
Kemal Özdemir,Yüksek Lisans,Bilgisayar Yazılımı,https://dergipark.org.tr/tr/pub/@kemal-ozdemir-786944,0,
İrem Bardakçı,Yüksek Lisans,"Hidroelektrik Enerji Sistemleri, Yüksek Gerilim, Elektrik Enerjisi Üretimi (Yenilenebilir Kaynaklar Dahil, Fotovoltaikler Hariç)",https://dergipark.org.tr/tr/pub/@irem-bardakci,0,
Senanur Armağan,Yüksek Lisans,Yapay Zeka (Diğer),https://dergipark.org.tr/tr/pub/@senanur-armagan,0,
Ayşegül Sarıpolat,Bilinmiyor,Temel Eğitim (Diğer),https://dergipark.org.tr/tr/pub/@aysegul-saripolat,1,Sınıf Öğretmeni Adaylarının Pandemi Dönemindeki Bilişim Etiklerinin Belirlenmesi
Yakup Aydemir,Yüksek Lisans,"Çelik Yapılar, Malzeme Fiziği, Genel Fizik",https://dergipark.org.tr/tr/pub/@yakup-aydemir-688977,1,CuAlFe Yüksek Sıcaklık Şekil Hafızalı Alaşımın Martensitik Dönüşüm Termodinamiği ve Yapı Analizi
Yakup Demir,Prof. Dr.,"Elektrik Devreleri ve Sistemleri, Devreler ve Sistemler",https://dergipark.org.tr/tr/pub/@yakupdemir,0,
Asli Yapalial,Dr. Öğr. Üyesi,"Bilgi Modelleme, Yönetim ve Ontolojiler, Takviyeli Öğrenme",https://dergipark.org.tr/tr/pub/@asli-yapalial,0,
İrem Semiha Köksaldı,Dr. Arş. Gör.,"Plastik, Rekonstrüktif ve Estetik Cerrahi",https://dergipark.org.tr/tr/pub/@irem-semiha-koksaldi,0,
Engin Demir,Bilinmiyor,Betonarme Yapılar,https://dergipark.org.tr/tr/pub/@engin-demir-670263,0,
Mehmet Irkilata,Öğretim Görevlisi,"İç Mimarlık , Mimari Tasarım, Ahşap Esaslı Kompozitler, Odun Dışı Orman Ürünleri Endüstrisi, Odun Koruma Teknolojisi",https://dergipark.org.tr/tr/pub/@mehmet-irkilata,1,Nano Partiküllü Hegzagonal Bor Nitrür’ün Ağaç Malzemenin Mekanik Özelliklerine Etkileri
Şeyma Orak,Bilinmiyor,Artificial Intelligence,https://dergipark.org.tr/tr/pub/@seyma-orak-603935,0,
Mert Aydın,Bilinmiyor,Veri Yönetimi ve Veri Bilimi (Diğer),https://dergipark.org.tr/tr/pub/@mert-aydin-757935,0,
Şüheda Deliktaş,Bilinmiyor,"Sosyal Medya Çalışmaları, Sosyoloji Eğitimi, Çocuk Gelişimi Eğitimi, Aile Sosyolojisi, Bilim ve Teknoloji Sosyolojisi ve Sosyal Bilimler, Çalışma Sosyolojisi, Değişme, Azgelişmişlik ve Modernleşme Sosyolojisi, Dil Sosyolojisi, Din Sosyolojisi, Edebiyat Sosyolojisi, Endüstri Sosyolojisi, Çocuk Sosyolojisi",https://dergipark.org.tr/tr/pub/@suheda-deliktas,0,
Merve Karaoglan,Doktora,Yaklaşım Teorisi ve Asimptotik Yöntemler,https://dergipark.org.tr/tr/pub/@merve-karaoglan,0,
Zahra Batool,Yüksek Lisans,Sucul Kültür,https://dergipark.org.tr/tr/pub/@zahra-batool-670078,1,Diyetsel Çinkonun Yavru Sazanların (Cyprinus carpio) Antioksidan Parametreleri Üzerine Etkisi
Mustafa Kayaöz,Bilinmiyor,Sınıf Eğitimi,https://dergipark.org.tr/tr/pub/@mustafa-kayaoz,0,
Tülay Ertan,Bilinmiyor,Radyo Yayıncılığı,https://dergipark.org.tr/tr/pub/@tulay-ertan-761253,0,
Merve Gülmüş,Doktora,Eğitim Teknolojisi ve Bilgi İşlem,https://dergipark.org.tr/tr/pub/@merve-gulmus,0,
Aydın Dikici,Dr. Öğr. Üyesi,"Güneş Enerjisi Sistemleri, Termik Enerji Sistemleri, Tesisat Teknolojisi",https://dergipark.org.tr/tr/pub/@adikici,0,
Ercan Beyaz,Yüksek Lisans,Endüstriyel Biyoteknoloji,https://dergipark.org.tr/tr/pub/@ercan-beyaz,0,
Mehmet Karakaya,Yüksek Lisans,"Veteriner Bilimleri, Veteriner Anatomi ve Fizyoloji, Veteriner Biyokimya, Veteriner Cerrahi, Veteriner Doğum ve Jinekoloji, Veteriner Farmakoloji, Veteriner Hekimlik, Veteriner Hekimlik Tarihi ve Etik, Veteriner Patoloji, Veteriner Viroloji, Veteriner İç Hastalıkları",https://dergipark.org.tr/tr/pub/@mehmet-karakaya-380497,0,
Bünyamin Çim,Arş. Gör.,Kadın Hastalıkları ve Doğum,https://dergipark.org.tr/tr/pub/@bunyamin-cim,1,Deprem ve COVID-19 Salgınının Neden Olduğu Maternal Stresin Pre/eklampsi Üzerine Olan Etkisinin İncelenmesi
Dilek Gökçeoğlu,Yüksek Lisans,Bilgi Güvenliği ve Kriptoloji,https://dergipark.org.tr/tr/pub/@dilek-gokceoglu,0,
Durdu Akdağ,Uzman,Balık Yetiştiriciliği,https://dergipark.org.tr/tr/pub/@durdu-akdag,0,
Lokman Polat,Yüksek Lisans,İletişim ve Medya Çalışmaları,https://dergipark.org.tr/tr/pub/@lokman-polat,0,
Medeni Sömer,Yüksek Lisans,"Kaplama Teknolojisi, Otomotiv Mühendisliği, İçten Yanmalı Motorlar, Taşıt Tekniği ve Dinamiği",https://dergipark.org.tr/tr/pub/@medeni-somer,0,
Şule Yılmaz Önal,Yüksek Lisans,Türkiye Sahası Yeni Türk Edebiyatı,https://dergipark.org.tr/tr/pub/@sule-yilmaz-onal,0,
Adem Azgın,Yüksek Lisans,Zihinsel Engelli Eğitimi,https://dergipark.org.tr/tr/pub/@adem-azgin,0,
Alperen Yıldırım,Doktora,Veteriner Cerrahi,https://dergipark.org.tr/tr/pub/@alperen-yildirim,0,
Mustafa Ali Güler,Yüksek Lisans,"Veri Madenciliği ve Bilgi Keşfi, Uluslararası Güvenlik",https://dergipark.org.tr/tr/pub/@mustafa-ali-guler,0,
Emrah Aytaç,Doç. Dr.,Nöroloji ve Nöromüsküler Hastalıklar,https://dergipark.org.tr/tr/pub/@emrah-aytac-394089,0,
Taner Algan,Arş. Gör.,"Sosyal Hizmetler, Aile Kaynakları Eğitimi, Sosyoloji, Adli Sosyal Bilimler, Aile Sosyolojisi, Aile ve İlişkiler Sosyolojisi, Bilgi ve Bilim Sosyolojisi, Çalışma Sosyolojisi, Çevre Sosyolojisi, Cinsiyet Sosyolojisi, Değişme, Azgelişmişlik ve Modernleşme Sosyolojisi, Din Sosyolojisi, Eğitim Sosyolojisi, Gençlik Sosyolojisi, Göç Sosyolojisi, İletişim Sosyolojisi, Kadın Araştırmaları, Kent Sosyolojisi ve Toplum Çalışmaları, Kültür Sosyolojisi, Modernleşme Sosyolojisi, Sağlık Sosyolojisi, Sosyal Değişim, Sosyal Hareketler, Sosyolojide Niceliksel Yöntemler, Sosyolojide Niteliksel Yöntemler",https://dergipark.org.tr/tr/pub/@talgan23,0,
Zahide Küçük,Yüksek Lisans,Makine Mühendisliği,https://dergipark.org.tr/tr/pub/@zahide-kucuk,0,
Duygu Durmuş,Yüksek Lisans,Türkçe ve Sosyal Bilimler Eğitimi,https://dergipark.org.tr/tr/pub/@duygu-durmus-314560,0,
Mehmet Bişkener,Bilinmiyor,Türkçe ve Sosyal Bilimler Eğitimi,https://dergipark.org.tr/tr/pub/@mehmet-biskener,0,
Ahmet Aykut,Yüksek Lisans,Halkla İlişkiler,https://dergipark.org.tr/tr/pub/@ahmet-aykut,0,
Zeynep Ceylan,Yüksek Lisans,Çevresel ve Sürdürülebilir Süreçler,https://dergipark.org.tr/tr/pub/@zeynep-ceylan,0,
Neslihan Koçdemir Ertürk,Yüksek Lisans,"Enerji Sistemleri Mühendisliği, Yenilenebilir Enerji Sistemleri",https://dergipark.org.tr/tr/pub/@neslihan-kocdemir-erturk,0,
Mehmet Duranay,Bilinmiyor,Makine Mühendisliği,https://dergipark.org.tr/tr/pub/@mehmet-duranay,0,
Özkan Beşkardeş,Yüksek Lisans,Çağdaş Türk Lehçeleri ve Edebiyatları,https://dergipark.org.tr/tr/pub/@ozkan-beskardes,0,
Hicran Okşaş,Yüksek Lisans,Sağlık Yönetimi,https://dergipark.org.tr/tr/pub/@hicran-oksas,0,
V. Nur Uzun,Bilinmiyor,Bilgisayar Yazılımı,https://dergipark.org.tr/tr/pub/@v-nur-uzun,0,
Ali İnan,Prof. Dr.,Makine Mühendisliği,https://dergipark.org.tr/tr/pub/@ali-inan,0,
Ahmet Şahin,Bilinmiyor,Döküm Teknolojileri,https://dergipark.org.tr/tr/pub/@ahmet-sahin-297307,0,
Betül İnce,Yüksek Lisans,Türkiye Sahası Yeni Türk Edebiyatı,https://dergipark.org.tr/tr/pub/@betul-ince,0,
İrem Tanyildizi,Yüksek Lisans,"İç Mimarlık , Mimari Tasarım, Mimarlıkta Malzeme ve Teknoloji, Mimarlık (Diğer)",https://dergipark.org.tr/tr/pub/@irem-tanyildizi,0,
Fatma Boz,Bilinmiyor,Fiziki Coğrafya,https://dergipark.org.tr/tr/pub/@fatma-boz-655078,0,
Sezgin Çetin,Yüksek Lisans,Moleküler Genetik,https://dergipark.org.tr/tr/pub/@sezgin-cetin,0,
İbrahim Melih Yalçın,Bilinmiyor,Türkçe ve Sosyal Bilimler Eğitimi,https://dergipark.org.tr/tr/pub/@ibrahimmelihyalcin,0,
Ceylan Çelebi,Yüksek Lisans,Sınıf Eğitimi,https://dergipark.org.tr/tr/pub/@ceylan-celebi,0,
Merve Aladağ,Öğretim Görevlisi,"Çevre Yönetimi (Diğer), Çevresel Biyojeokimya, Yüzey Suyu Kalite Süreçleri ve Bozulmuş Tortu Ölçümü",https://dergipark.org.tr/tr/pub/@aladagmerve,0,
Abdullah Hamza Usanmaz,Okutman,Video Tasarımı,https://dergipark.org.tr/tr/pub/@abdullah-hamza-usanmaz,0,
Ilham Agour,Bilinmiyor,Bilgisayar Oyunları ve Animasyon,https://dergipark.org.tr/tr/pub/@ilham-agour,0,
Yusuf Yazıcı,Yüksek Lisans,Programlama Dilleri,https://dergipark.org.tr/tr/pub/@yusuf-yazici-620042,0,
Bedran İliş,Bilinmiyor,Hayvan Fizyolojisi - Biyofizik,https://dergipark.org.tr/tr/pub/@ilisbedran,0,
Buşra Ayız,Yüksek Lisans,İletişim Çalışmaları,https://dergipark.org.tr/tr/pub/@busra-ayiz,0,
Muhammed Enes Özel,Bilinmiyor,"Adli Bilişim, Sistem ve Ağ Güvenliği, Yazılım ve Uygulama Güvenliği, Siber İstihbarat",https://dergipark.org.tr/tr/pub/@muhammed-enes-ozel-679372,0,
Gül Ülgen,Yüksek Lisans,"Anayasa ve Siyasal Kurumlar, Avrupa ve Bölge Çalışmaları, Barış Çalışmaları, Karşılaştırmalı Siyasi Hareketler, Karşılaştırmalı Siyasi Kurumlar, Politik Ekoloji, Savunma Çalışmaları, Siyasal Akımlar, Siyasal İletişim, Siyasal Teori ve Siyaset Felsefesi, Siyaset Bilimi Metodolojisi, Siyaset Biliminde Çevre Politikası, Siyasi Düşünce Tarihi, Toplumsal Cinsiyet ve Siyaset, Türk Siyasal Hayatı, Uluslararası Kurumlar, Uluslararası Siyaset, Uyuşmazlık Çözümü, Vatandaşlık, Siyaset Bilimi (Diğer)",https://dergipark.org.tr/tr/pub/@gul-ulgen,0,
Yelda Yerli,Yüksek Lisans,"Betonarme Yapılar, Yapı Malzemeleri, Yapı Mühendisliği",https://dergipark.org.tr/tr/pub/@yelda-yerli,0,
Aybüke Kara,Arş. Gör.,"Protez, Dental Materyaller",https://dergipark.org.tr/tr/pub/@aybuke-kara,0,
Zeynep Düner,Yüksek Lisans,Halkla İlişkiler,https://dergipark.org.tr/tr/pub/@zeynep-duner,0,
Muhammad Zaharaddeen Abubakar,Arş. Gör.,"Yapay Zeka, Sağlık Bilimleri",https://dergipark.org.tr/tr/pub/@muhammad-zaharaddeen-abubakar,0,
Mustafa Konuk,Uzman,Ortopedi,https://dergipark.org.tr/tr/pub/@mustafakonuk,0,
Yavuz Demirtaş,Bilinmiyor,İletişim Sosyolojisi,https://dergipark.org.tr/tr/pub/@yavuz-demirtas,0,
Giray Kocaman,Yüksek Lisans,Beşeri Coğrafya,https://dergipark.org.tr/tr/pub/@giray-kocaman,0,
Serdal Karakuş,Bilinmiyor,"Eğitimde Denetim, Eğitim Planlaması, Teftiş ve Planlama, Eğitimde Liderlik",https://dergipark.org.tr/tr/pub/@serdal-karakus,0,
Zeynep Çiftçi,Yüksek Lisans,Matematik Eğitimi,https://dergipark.org.tr/tr/pub/@zeynep-ciftci-550989,0,
Hosın Alsalem,Yüksek Lisans,Sosyal Bilgiler Eğitimi,https://dergipark.org.tr/tr/pub/@hosin-alsalem,0,
Cihad Kayalı,Uzman,Bilgi Güvenliği Yönetimi,https://dergipark.org.tr/tr/pub/@cihad-kayali-648485,0,
Mehmet Tekdemir,Doktora,"Antrenman, Beden Eğitimi ve Oyun",https://dergipark.org.tr/tr/pub/@mehmet-tekdemir-674114,0,
Fatih Güneş,Bilinmiyor,Uzay Mühendisliği,https://dergipark.org.tr/tr/pub/@fatih-gunes-609137,0,
Ferit Çelik,Yüksek Lisans,"Bilgi Sistemleri Eğitimi, Evrimsel Hesaplama",https://dergipark.org.tr/tr/pub/@ferit-celik-676430,0,
Alperen Tokgöz,Yüksek Lisans,Programlama Dilleri,https://dergipark.org.tr/tr/pub/@alperentokgoz,0,
Zeynep Kulcu Kızılkaya,Arş. Gör.,Dermatoloji,https://dergipark.org.tr/tr/pub/@zeynep-kulcu-kizilkaya,0,
Hamit Yıldız,Prof. Dr.,Veteriner Doğum ve Jinekoloji,https://dergipark.org.tr/tr/pub/@hamit-yildiz-658177,0,
Bahar Tiryaki,Bilinmiyor,Eğitim,https://dergipark.org.tr/tr/pub/@bahar-tiryaki,0,
Şadan Toğaçar,Doktora,"Antrenman, Egzersiz Fizyolojisi, Fiziksel Aktivite ve Sağlık, Motor Kontrol, Spor Biliminde Hareket Eğitimi, Spor ve Rekreasyon",https://dergipark.org.tr/tr/pub/@sadan-togacar,0,
Hurşit Korkmaz,Öğretim Görevlisi,İslam Tarihi,https://dergipark.org.tr/tr/pub/@hursit-korkmaz,0,
Aslı Bağcı,Yüksek Lisans,Makro İktisat,https://dergipark.org.tr/tr/pub/@asli-bagci-552561,0,
Merve Erkuş,Yüksek Lisans,Bilgisayar Yazılımı,https://dergipark.org.tr/tr/pub/@merve-erkus,0,
Büşra Topal,Yüksek Lisans,Biyoloji,https://dergipark.org.tr/tr/pub/@busra-topal,0,
Ayhan Yavuz,Yüksek Lisans,"Eğitimde Program Geliştirme, Eğitimde Program Değerlendirme",https://dergipark.org.tr/tr/pub/@ayhanyavuz23,0,
Selin Çapkur,Yüksek Lisans,Temel Eğitim,https://dergipark.org.tr/tr/pub/@selin-capkur,0,
Sabeer Saeed,Yüksek Lisans,Makine Öğrenme,https://dergipark.org.tr/tr/pub/@sabeer-saeed,0,
Ayşe Nur Akkılıç,Doktora,Matematik,https://dergipark.org.tr/tr/pub/@ayse-nur-akkilic,0,
Abdurrahman Can Önalan,Uzman,Endodonti,https://dergipark.org.tr/tr/pub/@abdurrahman-can-onalan,0,
Mehmet Varol,Yüksek Lisans,Afet ve Acil Durum Yönetimi,https://dergipark.org.tr/tr/pub/@mehmet-varol-467571,0,
Miray Ünal,Yüksek Lisans,İnşaat Mühendisliği,https://dergipark.org.tr/tr/pub/@miray-unal,0,
Ertuğrul Baykara,Yüksek Lisans,"Türk Dili ve Edebiyatı, Eski Türk Dili (Orhun, Uygur, Karahanlı), Tarihi Kuzey Doğu Türk Dili (Harezm, Kıpçak, Çağatay), Yeni Türk Dili (Eski Anadolu, Osmanlı, Türkiye Türkçesi)",https://dergipark.org.tr/tr/pub/@ertugrulbaykara,0,
Zeynep Arı,Bilinmiyor,Bilinmiyor,https://dergipark.org.tr/tr/pub/@zeynep-ari-499676,0,
Hayrettin Akkelek,Bilinmiyor,Makine Tasarımı ve Makine Elemanları,https://dergipark.org.tr/tr/pub/@h.akkelek,0,
Oğuzhan Ulun,Bilinmiyor,Ciddi Oyunlar ve Simülasyonlar,https://dergipark.org.tr/tr/pub/@oguzhan-ulun,0,
Halide Sengüner,Doktora,"Eski Yunan ve Roma Tarihi, Eskiçağ Tarihi (Diğer)",https://dergipark.org.tr/tr/pub/@halidesenguner.92,0,
Vedat Tanyıldızı,Prof. Dr.,Termodinamik ve İstatistiksel Fizik,https://dergipark.org.tr/tr/pub/@vedat-tanyildizi,0,
Cansu Karabulut,Doktora,Türkçe Eğitimi,https://dergipark.org.tr/tr/pub/@cansu-karabulut-758771,0,
Merve Ayça Topal,Bilinmiyor,Radyo Yayıncılığı,https://dergipark.org.tr/tr/pub/@merve-ayca-topal,0,
Abdullah Akyol,Bilinmiyor,Dilbilim,https://dergipark.org.tr/tr/pub/@abdullah-akyol,1,ATA ATACANOV’UN ŞİİRLERİNDE PEKİŞTİRME VE VURGULAMAYI ANLATAN MODAL SÖZLER
Cem Ecmel Şaki,Prof. Dr.,Veteriner Parazitoloji,https://dergipark.org.tr/tr/pub/@cesaki,0,
Süleyman Evsen,Öğretim Görevlisi,"Geomatik/Harita Mühendisliği , Planlamada Coğrafi Bilgi Sistemleri (CBS), Uzaktan Algılama",https://dergipark.org.tr/tr/pub/@suleyman-evsen,0,
Mevlüt Yılmaz,Dr.,Sosyoloji,https://dergipark.org.tr/tr/pub/@mevluty,0,
Sinan İlhan,Yüksek Lisans,Atatürk İlkeleri İnkılap Tarihi,https://dergipark.org.tr/tr/pub/@sinan-ilhan-773244,0,
Ezgi Böler,Bilinmiyor,Tarımsal Biyoteknolojik Tanılama,https://dergipark.org.tr/tr/pub/@ezgi-boler,0,
İrem Taşcı,Doç. Dr.,Nöroloji ve Nöromüsküler Hastalıklar,https://dergipark.org.tr/tr/pub/@irem-tasci-715946,1,İnme Merkezinde Takip Edilen Hastaların Klinik Özelliklerinin ve Tedavi Verilerinin Retrospektif Kohort Çalışması ile Değerlendirilmesi : İki Yıllık Analiz
Eda Çoban Ercan,Dr. Arş. Gör.,Tıbbi Fizyoloji (Diğer),https://dergipark.org.tr/tr/pub/@eda-coban-ercan,0,
Batuhan Gül,Arş. Gör.,Adli Bilişim,https://dergipark.org.tr/tr/pub/@batuhan-gul,2,Network Forensics Analysis of Cyber Attacks Carried Out Over Wireless Networks Using Machine Learning Methods; Network Forensics Analysis of Cyber Attacks on Computer Systems using Machine Learning Techniques
Yakup Tozlu,Yüksek Lisans,"Arap Dili, Edebiyatı ve Kültürü, Arap Dili ve Belagatı",https://dergipark.org.tr/tr/pub/@yakup-tozlu,0,
Mustafa Inc,Prof. Dr.,Applied Mathematics,https://dergipark.org.tr/tr/pub/@mustafa-inc,0,
Mustafa Çafin,Bilinmiyor,"Din Sosyolojisi, Kent Sosyolojisi ve Toplum Çalışmaları, Kültür Sosyolojisi, Modernleşme Sosyolojisi, Sosyal Değişim",https://dergipark.org.tr/tr/pub/@mustafa-cafin,0,
Suheyla Demirkol Orak,Dr. Öğretim Görevlisi,"İkinci Bir Dil Olarak İngilizce, Dil Edinimi, Dil Çalışmaları (Diğer)",https://dergipark.org.tr/tr/pub/@suheylademirkolorak,0,
Fatma Köse,Yüksek Lisans,"Mimari Bilgi İşlem ve Görselleştirme Yöntemleri, Mimarlıkta Malzeme ve Teknoloji",https://dergipark.org.tr/tr/pub/@fatma-kose-776620,0,
Esma İnan Yüksel,Bilinmiyor,Dermatoloji,https://dergipark.org.tr/tr/pub/@esma-inan-yuksel,0,
Cansu Çiltepe,Bilinmiyor,"Organizasyonel, Organizasyon Dışı ve Küresel Bilgi Sistemleri",https://dergipark.org.tr/tr/pub/@cansu-ciltepe,0,
Gökçe Dağteke,Arş. Gör.,"Yapı Bilgi Modelleme ve Yönetimi, Yapı (Diğer)",https://dergipark.org.tr/tr/pub/@gokce-dagteke,0,
Veysel Bingöl,Okutman,Bilgi Güvenliği Yönetimi,https://dergipark.org.tr/tr/pub/@veysel-bingol,0,
Ayşe Murat Aydın,Prof. Dr.,Radiology and Organ Imaging,https://dergipark.org.tr/tr/pub/@ayse-murat-aydin,1,Parameters effective on survival in connective tissue disease-related interstitial lung disease
Esra Eroğlu,Yüksek Lisans,Kelam,https://dergipark.org.tr/tr/pub/@esra-eroglu-765884,0,
Veysel Cerav,Yüksek Lisans,Aerodinamik (Hipersonik Aerodinamik Hariç),https://dergipark.org.tr/tr/pub/@veysel-cerav,0,
Ünzile Yasul,Doktora,İnorganik Kimya (Diğer),https://dergipark.org.tr/tr/pub/@unzile-yasul,0,
Feyza Karahüseyinoğlu,Yüksek Lisans,"Gen İfadesi, Genetik İmmünoloji, Kanser Hücre Biyolojisi",https://dergipark.org.tr/tr/pub/@feyza-karahuseyinoglu,0,
Majed Alsawadi,Yüksek Lisans,"Mekatronik Mühendisliği, Makine Teorisi ve Dinamiği",https://dergipark.org.tr/tr/pub/@majed-alsawadi,0,
Fatih Karaman,Yüksek Lisans,"Proteomik ve Metabolomik, Gen İfadesi, Moleküler Evrim",https://dergipark.org.tr/tr/pub/@fatih-karaman-651078,0,
Gökhan Arıkan,Arş. Gör.,Protez,https://dergipark.org.tr/tr/pub/@_gokhanarikan,0,
İlayda Hörgüşlüoğlu,Bilinmiyor,"Adli Bilişim, Siber Güvenlik ve Gizlilik (Diğer)",https://dergipark.org.tr/tr/pub/@ilayda-horgusluoglu,1,Machine Learning Methods in IoT Based Embedded Systems for Classifying Physical Faults in Water Distribution Networks
Hakan Özdemir,Yüksek Lisans,Deprem Mühendisliği,https://dergipark.org.tr/tr/pub/@hakan-ozdemir-783171,0,
Büşra Dağlı,Yüksek Lisans,"Sanat Felsefesi, 17. Yüzyıl Felsefesi, Çağdaş Felsefe, Rönesans Felsefesi, Felsefe Tarihi (Diğer)",https://dergipark.org.tr/tr/pub/@busra-dagli,0,
Cevdet Akosman,Prof. Dr.,Ayırma İşlemleri,https://dergipark.org.tr/tr/pub/@cevdet-akosman,0,
Ayşe Özateş,Doktora,Siberfizik Sistemleri ve Nesnelerin İnterneti,https://dergipark.org.tr/tr/pub/@ayse-ozates,0,
Muhammed Yasir Yurt,Yüksek Lisans,Mineraloji-Petrografi,https://dergipark.org.tr/tr/pub/@muhammed-yasir-yurt,0,
Fatih Yildirm,Yüksek Lisans,"Biyoişlem, Biyoüretim ve Biyoürünler",https://dergipark.org.tr/tr/pub/@fatih-yildirm,0,
